ticker,statement_type,report_level,fiscal_date,currency,account_name,amount,source_system,load_time
IBM,balance_sheet,quarterly,2017-03-31,USD,cashAndCashEquivalentsAtCarryingValue,10096000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,cashAndShortTermInvestments,10096000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,inventory,1609000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,currentNetReceivables,25869000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,totalNonCurrentAssets,74607000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,propertyPlantEquipment,10865000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,accumulatedDepreciationAmortizationPPE,-19816000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,intangibleAssets,4438000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,intangibleAssetsExcludingGoodwill,4438000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,goodwill,36307000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,longTermInvestments,13051000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,shortTermInvestments,599000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,otherCurrentAssets,4716000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,totalLiabilities,99047000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,totalCurrentLiabilities,36481000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,currentAccountsPayable,5324000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2017-03-31,USD,shortTermDebt,8340000000.0,AlphaVantage,2026-04-17T15:16:06
